matrix_id,recon_type,pattern_type,parameter_value,samp_rat,arr_size,seed,M,N_pixels,mean,var,std,contrast,entropy,autocorrelation width,effective_rank,cond_number,mutual coherence,nmse,psnr,ssim,runtime
CGI_binary_30_size32_samprat90_seed47,CGI,Binary,30,90,32,47,921,1024,0.30057448595276876,0.21022946434699744,0.458507867268379,1.5254384144198518,0.8813076427436667,2.0,735,367.7896511861053,0.41712652465117706,3.3208916351259083,9.135112561809613,0.27602435645715695,0.0004578000007313676
DGI_binary_30_size32_samprat90_seed47,DGI,Binary,30,90,32,47,921,1024,0.30057448595276876,0.21022946434699744,0.458507867268379,1.5254384144198518,0.8813076427436667,2.0,735,367.7896511861053,0.41712652465117706,2.4062954583613125,10.53417009061249,0.34337958394301105,0.0005439000015030615
Ridge_binary_30_size32_samprat90_seed47,Ridge,Binary,30,90,32,47,921,1024,0.30057448595276876,0.21022946434699744,0.458507867268379,1.5254384144198518,0.8813076427436667,2.0,735,367.7896511861053,0.41712652465117706,0.8887516491088849,14.85985540848226,0.6260931891822418,0.0014844999968772754
CGI_binary_60_size32_samprat90_seed47,CGI,Binary,60,90,32,47,921,1024,0.5996740550352877,0.24006508275282243,0.4899643688604534,0.8170511376064195,0.970461243170284,2.0,688,733.7322821170691,0.681129906037766,3.393592835471355,9.041062261408788,0.27970655005000145,0.0005831000016769394
DGI_binary_60_size32_samprat90_seed47,DGI,Binary,60,90,32,47,921,1024,0.5996740550352877,0.24006508275282243,0.4899643688604534,0.8170511376064195,0.970461243170284,2.0,688,733.7322821170691,0.681129906037766,3.276359684235971,9.193743871560589,0.3242078632183348,0.000669400003971532
Ridge_binary_60_size32_samprat90_seed47,Ridge,Binary,60,90,32,47,921,1024,0.5996740550352877,0.24006508275282243,0.4899643688604534,0.8170511376064195,0.970461243170284,2.0,688,733.7322821170691,0.681129906037766,0.522853983430026,17.16385539339335,0.7150017718829869,0.0006092000039643608
CGI_binary_90_size32_samprat90_seed47,CGI,Binary,90,90,32,47,921,1024,0.8997067131514658,0.09023454346165184,0.30039065142186405,0.33387619213080094,0.46920646184839115,2.0,542,1742.34160172729,0.9315428984921547,4.598249505481261,7.721734276222277,0.23127595043668278,0.0006304000053205527
DGI_binary_90_size32_samprat90_seed47,DGI,Binary,90,90,32,47,921,1024,0.8997067131514658,0.09023454346165184,0.30039065142186405,0.33387619213080094,0.46920646184839115,2.0,542,1742.34160172729,0.9315428984921547,4.03473316483864,8.289511422864352,0.3013468322213748,0.0007496999969589524
Ridge_binary_90_size32_samprat90_seed47,Ridge,Binary,90,90,32,47,921,1024,0.8997067131514658,0.09023454346165184,0.30039065142186405,0.33387619213080094,0.46920646184839115,2.0,542,1742.34160172729,0.9315428984921547,0.8849910749832808,14.878270695168647,0.6355403067508838,0.0011143000010633841
CGI_gaussian_low_size32_samprat30_seed47,CGI,Gaussian,low,30,32,47,307,1024,0.4999967651839671,0.027726979340822494,0.16651420161902855,0.33303055782256685,9.99772227462236,2.0,186,120.4887460054695,0.9363505310065199,4.246107516135698,8.06774973649432,0.03271463989624145,0.00048400000378023833
DGI_gaussian_low_size32_samprat30_seed47,DGI,Gaussian,low,30,32,47,307,1024,0.4999967651839671,0.027726979340822494,0.16651420161902855,0.33303055782256685,9.99772227462236,2.0,186,120.4887460054695,0.9363505310065199,5.441559605302583,6.990425697619496,0.19605341065713186,0.0007126999989850447
Ridge_gaussian_low_size32_samprat30_seed47,Ridge,Gaussian,low,30,32,47,307,1024,0.4999967651839671,0.027726979340822494,0.16651420161902855,0.33303055782256685,9.99772227462236,2.0,186,120.4887460054695,0.9363505310065199,3.7790594449073285,8.573822369772833,0.24487446691407624,0.0004701999932876788
CGI_gaussian_medium_size32_samprat30_seed47,CGI,Gaussian,medium,30,32,47,307,1024,0.5000142116248673,0.05758275006505038,0.23996405994450581,0.47991447915895946,9.778889138556341,2.0,218,83.3724547563161,0.880695618710728,4.0356073311194915,8.288570581288425,0.0342909254105452,0.0008859000008669682
DGI_gaussian_medium_size32_samprat30_seed47,DGI,Gaussian,medium,30,32,47,307,1024,0.5000142116248673,0.05758275006505038,0.23996405994450581,0.47991447915895946,9.778889138556341,2.0,218,83.3724547563161,0.880695618710728,5.005572260181666,7.3531222522661,0.1982636672649823,0.0009022999947774224
