recon_type,samp_rat,metric,pearson_r,pearson_p,spearman_r,spearman_p
DGI,90,std,0.5907230062558831,0.04312800930208834,0.4238185133446995,0.16975340732567462
DGI,90,contrast,0.4415579999617978,0.15070068928412472,0.4238185133446995,0.16975340732567462
DGI,90,entropy,-0.47052078865076286,0.12264690531802105,-0.08818685042742196,0.7852123341496263
DGI,90,autocorrelation width,0.1535509165894307,0.6337509815081943,0.3353138689291874,0.28665785786011205
DGI,90,effective_rank,0.6057020213601301,0.03685860755941535,0.5709290716957522,0.052523555482204304
DGI,90,cond_number,-0.3046371619369255,0.3356609090991872,-0.5244755244755246,0.08001937592027475
DGI,90,mutual coherence,-0.2398999948811353,0.4526414494166455,-0.30069930069930073,0.34225952894002465
Ridge,30,mean,-0.19376136390651835,0.5462425475461745,-0.28021058733533855,0.3776981560766677
Ridge,30,var,-0.06668876853855821,0.8368524110772624,0.014010529366766925,0.9655299853727577
Ridge,30,std,-0.11879837790188244,0.7130765781570558,0.014010529366766925,0.9655299853727577
Ridge,30,contrast,-0.054970012011922864,0.8652657814745617,0.18213688176797005,0.5710157812668486
Ridge,30,entropy,0.12333105565674289,0.7025617298504547,0.16226380478645638,0.6143694573131051
Ridge,30,autocorrelation width,0.7460353235966939,0.005331847822037059,0.6550317439546917,0.020783379730700886
Ridge,30,effective_rank,-0.2971807123251873,0.3482140296058841,0.02816971260815995,0.9307493932264658
Ridge,30,cond_number,0.2400772969489243,0.4522972853399358,0.34965034965034975,0.2652387868927897
Ridge,30,mutual coherence,0.3819788825552225,0.220456552998131,0.20979020979020982,0.5128409431818263
Ridge,60,mean,-0.06423187886582965,0.8427956814583397,0.0,1.0
Ridge,60,var,0.005941704221104165,0.9853785255380088,0.0,1.0
Ridge,60,std,-0.03560400820122526,0.9125286857124668,0.0,1.0
Ridge,60,contrast,-0.04986234812979512,0.8776977465492908,-0.03502632341691732,0.9139432528752413
Ridge,60,entropy,0.01927596464565632,0.9525865489699012,0.07054948034193756,0.8275291704219159
Ridge,60,autocorrelation width,0.44392531123011275,0.14826659709614778,0.6550317439546917,0.020783379730700886
Ridge,60,effective_rank,-0.15402915198143635,0.6326815279129412,-0.09155156597651984,0.7771962894578055
Ridge,60,cond_number,-0.007397380213186793,0.9817968377957687,0.3426573426573427,0.27556745095678037
Ridge,60,mutual coherence,0.3860887460456807,0.21511407945937727,0.2867132867132868,0.36625146058358227
Ridge,90,mean,0.10331575921139588,0.7493303744876485,0.4728553661283838,0.12054731608984573
Ridge,90,var,0.31583210284474383,0.3172821163285428,0.0875658085422933,0.7866940142086327
Ridge,90,std,0.3227250325842077,0.3062483007806931,0.0875658085422933,0.7866940142086327
Ridge,90,contrast,0.19547366197721958,0.5426317440860944,0.003502632341691731,0.9913803817213171
Ridge,90,entropy,-0.30559536411036053,0.3340657534157613,-0.31394518752162215,0.32034022815938284
Ridge,90,autocorrelation width,-0.3099481153458379,0.3268714558203115,-0.1715559329405145,0.5939463255846565
Ridge,90,effective_rank,0.3494790705657296,0.2654890496095458,0.0665500144921429,0.8371878544641639
Ridge,90,cond_number,-0.5333478477660613,0.07414315770276074,0.006993006993006993,0.9827917689028476
Ridge,90,mutual coherence,-0.2160780333419468,0.4999883773479979,-0.0979020979020979,0.762121655996299
